index,date,federal_state_id,federal_state_name,professional_area_ID,professional_area,number_of_unemployed,number_of_job _seekers,reported_open_positions,reported_open_positions_moving_annual_total
2301,15/01/2019,,Hamburg,83154,"Sozial-,Erziehungs-, Suchtberat.-Experte",19,30,* ,3
2302,15/01/2019,,Hamburg,8319,"Aufsicht,Führung-Erziehung,Sozialarbeit",7,18,* ,20
2303,15/01/2019,,Hamburg,83193,"Aufsicht-Erziehung,Sozialarbeit,Heilerz.",5,15,* ,20
2304,15/01/2019,,Hamburg,832,Hauswirtschaft und Verbraucherberatung,308,628,38,129
2305,15/01/2019,,Hamburg,8321,Berufe in der Hauswirtschaft,303,622,36,122
2306,15/01/2019,,Hamburg,83212,Hauswirtschaft - Fachkraft,300,616,36,115
2307,15/01/2019,,Hamburg,83213,Hauswirtschaft - Spezialist,3,6,- ,7
2308,15/01/2019,,Hamburg,8329,"Aufsicht-Hauswirtschaft,Verbraucherber.",5,6,* ,6
2309,15/01/2019,,Hamburg,83293,"Aufsicht-Hauswirtschaft,Verbraucherber.",5,6,* ,6
2310,15/01/2019,,Hamburg,833,Theologie und Gemeindearbeit,15,27,* ,5
2311,15/01/2019,,Hamburg,8331,Berufe in der Theologie,8,15,- ,- 
2312,15/01/2019,,Hamburg,83314,Theologie - Experte,8,15,- ,- 
2313,15/01/2019,,Hamburg,8332,Berufe in der Gemeindearbeit,3,5,* ,5
2314,15/01/2019,,Hamburg,8338,"Berufe in Theologie,Gemeindearbeit (ssT)",4,7,- ,- 
2315,15/01/2019,,Hamburg,83382,"Theologie,Gemeindearbeit (ssT)-Fachkraft",3,4,- ,- 
2316,15/01/2019,,Hamburg,84,Lehrende und ausbildende Berufe,807,"1,686",53,261
2317,15/01/2019,,Hamburg,841,Lehrtätigkeit an allgemeinbild. Schulen,164,376,* ,4
2318,15/01/2019,,Hamburg,8411,Lehrkräfte in der Primarstufe,29,77,* ,* 
2319,15/01/2019,,Hamburg,84114,Lehrkräfte in der Primarstufe - Experte,29,77,* ,* 
2320,15/01/2019,,Hamburg,8412,Lehrkräfte in der Sekundarstufe,50,123,- ,* 
2321,15/01/2019,,Hamburg,84124,Lehrkräfte in d. Sekundarstufe - Experte,50,123,- ,* 
2322,15/01/2019,,Hamburg,8413,Lehrkräfte an Sonderschulen,34,78,- ,- 
2323,15/01/2019,,Hamburg,84134,Lehrkräfte an Sonderschulen - Experte,34,78,- ,- 
2324,15/01/2019,,Hamburg,8418,Lehrkräfte allgemeinbild. Schulen (ssT),49,91,- ,* 
2325,15/01/2019,,Hamburg,84183,Lehrkräfte allg. Schule (ssT)-Spezialist,47,85,- ,* 
2326,15/01/2019,,Hamburg,842,"Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd",55,104,18,96
2327,15/01/2019,,Hamburg,8421,Lehrkräfte für berufsbildende Fächer,22,41,5,20
2328,15/01/2019,,Hamburg,84213,Lehrkräfte berufsbild. Fächer-Spezialist,5,7,5,16
2329,15/01/2019,,Hamburg,84214,Lehrkräfte berufsbildende Fächer-Experte,17,34,- ,4
2330,15/01/2019,,Hamburg,8422,"Berufe betriebl. Ausbildung, Berufspäd.",32,60,13,76
2331,15/01/2019,,Hamburg,84223,"Betriebl.Ausbild., Berufspäd.-Spezialist",30,55,13,69
2332,15/01/2019,,Hamburg,843,"Lehr-,Forschungstätigkeit an Hochschulen",155,325,7,97
