semester,federal_state,study_code,study_subject,total_males,total_females,total_all
WT 2021/22,Saxony,SF231,Printing and Reproduction Technology,19,32,51
WT 2021/22,Saxony,SF316,Electrical Power Engineering,28,5,33
WT 2021/22,Saxony,SF048,Electrical Engineering/Electronics,444,76,520
WT 2021/22,Saxony,SF211,Energy Process Engineering,11,3,14
WT 2021/22,Saxony,SF052,Educational Science (Pedagogy),237,514,751
WT 2021/22,Saxony,SF169,Ethics,1,7,8
WT 2021/22,Saxony,SF173,Ethnology,6,22,28
WT 2021/22,Saxony,SF024,European Ethnology and Cultural Studies,3,22,25
WT 2021/22,Saxony,SF167,European Economic Studies,201,245,446
WT 2021/22,Saxony,SF544,"Protestant Religious Pedagogy, Church Educat. Work",3,16,19
WT 2021/22,Saxony,SF053,"Protestant Theology, Protes. Religious Education",21,15,36
WT 2021/22,Saxony,SF464,Facility Management,19,10,29
WT 2021/22,Saxony,SF235,Automotive Technology,113,4,117
WT 2021/22,Saxony,SF202,Manufacturing Technology/Production Engineering,29,10,39
WT 2021/22,Saxony,SF054,Film and Television Studies,9,3,12
WT 2021/22,Saxony,SF266,Financial Administration,32,46,78
WT 2021/22,Saxony,SF058,"Forest Science, Forestry",63,58,121
WT 2021/22,Saxony,SF059,French,4,15,19
WT 2021/22,Saxony,SF060,Horticulture,15,12,27
WT 2021/22,Saxony,SF050,Geography,21,35,56
WT 2021/22,Saxony,SF385,Geoecology,11,9,20
WT 2021/22,Saxony,SF066,Geophysics,8,2,10
WT 2021/22,Saxony,SF039,Geosciences general,33,19,52
WT 2021/22,Saxony,SF067,German Studies/German,45,185,230
WT 2021/22,Saxony,SF230,Singing,4,11,15
WT 2021/22,Saxony,SF068,History,83,66,149
WT 2021/22,Saxony,SF215,Health Technology,12,7,19
WT 2021/22,Saxony,SF232,Health Science/Health Management,13,44,57
WT 2021/22,Saxony,SF069,Graphic Design/Communication Design,37,52,89
WT 2021/22,Saxony,SF070,Greek,1,1,2
WT 2021/22,Saxony,SF115,Primary School Education/Primary Level Education,36,291,327
WT 2021/22,Saxony,SF076,Metallurgy and Foundry,2,1,3
WT 2021/22,Saxony,SF203,Industrial Design/Product Design,5,17,22
WT 2021/22,Saxony,SF079,Computer Science,729,239,968
WT 2021/22,Saxony,SF022,Inf./Library Scien. (not at univ. of app.adm.sci.),6,24,30
WT 2021/22,Saxony,SF123,Computational Engineer./Technical Computer Science,41,9,50
WT 2021/22,Saxony,SF261,Internal Administration,58,88,146
WT 2021/22,Saxony,SF080,Instrumental Music,7,13,20
WT 2021/22,Saxony,SF072,Interdisc. Studies (specialising in Engineering),84,32,116
WT 2021/22,Saxony,SF049,Interdisc. Studies (special. in Natural Sciences),71,67,138
WT 2021/22,Saxony,SF030,"Interdisc. St. (spec. in Law, Econ. and Soc. Sci.)",35,76,111
WT 2021/22,Saxony,SF004,Interdisc. Studies (spec. in Humanities),25,135,160
WT 2021/22,Saxony,SF040,"Interdisc. Studies (special. in Art, Art Theory)",1,3,4
WT 2021/22,Saxony,SF182,International Business Studies/Management,72,120,192
WT 2021/22,Saxony,SF085,Japanese Studies,5,12,17
WT 2021/22,Saxony,SF164,Jazz and Popular Music,12,4,16
WT 2021/22,Saxony,SF193,Church Music,3,1,4
WT 2021/22,Saxony,SF222,"Communication Technology, Information Engineering",63,11,74
WT 2021/22,Saxony,SF303,Communication Science/Journalism,21,86,107
WT 2021/22,Saxony,SF191,Composition,7,4,11
WT 2021/22,Saxony,SF091,Arts Education,2,16,18
WT 2021/22,Saxony,SF092,"Art History, Art Theory",11,55,66
WT 2021/22,Saxony,SF093,Land Management Engineering/Landscape Design,13,47,60
WT 2021/22,Saxony,SF095,Latin,3,4,7
WT 2021/22,Saxony,SF096,Food Chemistry,7,21,28
WT 2021/22,Saxony,SF154,Area of study: Social Studies,2,2,4
WT 2021/22,Saxony,SF103,Mine Surveying,2,2,4
WT 2021/22,Saxony,SF104,Mechanical Engineering,465,84,549
WT 2021/22,Saxony,SF105,Mathematics,152,80,232
WT 2021/22,Saxony,SF380,Mechatronics,98,11,109
WT 2021/22,Saxony,SF121,Media Informatics,144,69,213
WT 2021/22,Saxony,SF305,Media Technology,174,159,333
WT 2021/22,Saxony,SF304,Media Economics/Media Management,8,35,43
WT 2021/22,Saxony,SF302,Media Science,23,80,103
WT 2021/22,Saxony,SF107,Medicine (General Medicine),171,469,640
WT 2021/22,Saxony,SF110,Meteorology,20,11,31
WT 2021/22,Saxony,SF286,Microsystems Technology,25,7,32
WT 2021/22,Saxony,SF111,Mineralogy,15,9,24
WT 2021/22,Saxony,SF113,Music Education,31,45,76
WT 2021/22,Saxony,SF114,Musicology/History of Music,7,11,18
WT 2021/22,Saxony,SF287,New Media,4,12,16
WT 2021/22,Saxony,SF233,Non-medical Healthcare Professions/Therapies,22,65,87
WT 2021/22,Saxony,SF165,Orchestral Music,29,42,71
WT 2021/22,Saxony,SF044,Eastern and South Eastern Europe Studies,1,6,7
WT 2021/22,Saxony,SF234,Nursing Science/Nursing Management,7,17,24
WT 2021/22,Saxony,SF126,Pharmacy,16,30,46
WT 2021/22,Saxony,SF127,Philosophy,20,28,48
WT 2021/22,Saxony,SF128,Physics,253,76,329
WT 2021/22,Saxony,SF224,Engineering Physics/Mechanical Process Engineering,5,1,6
WT 2021/22,Saxony,SF129,Political Science,52,53,105
WT 2021/22,Saxony,SF263,Police/Protection of the Constitution,126,42,168
WT 2021/22,Saxony,SF132,Psychology,65,245,310
WT 2021/22,Saxony,SF256,Administration of Justice,7,31,38
WT 2021/22,Saxony,SF135,Law,232,392,624
WT 2021/22,Saxony,SF136,Religious Studies,4,8,12
WT 2021/22,Saxony,SF137,"Romance Studies (Rom. Phil., indiv. lang. n.e.c.)",9,42,51
WT 2021/22,Saxony,SF102,Drama Studies,2,3,5
WT 2021/22,Saxony,SF145,Sinology/Korean Studies,7,14,21
WT 2021/22,Saxony,SF146,Slavic Studies (Slavic Philology),1,10,11
WT 2021/22,Saxony,SF190,Special Needs Education,27,125,152
WT 2021/22,Saxony,SF290,Other subjects,39,53,92
WT 2021/22,Saxony,SF207,Sorabistics,1,5,6
WT 2021/22,Saxony,SF208,Social Work,14,50,64
WT 2021/22,Saxony,SF245,Social Pedagogy,15,112,127
WT 2021/22,Saxony,SF264,Social Security Administration,12,23,35
WT 2021/22,Saxony,SF253,Applied Social Science,26,94,120
WT 2021/22,Saxony,SF148,Social Sciences,30,34,64
WT 2021/22,Saxony,SF149,Sociology,43,138,181
WT 2021/22,Saxony,SF150,Spanish,5,13,18
WT 2021/22,Saxony,SF098,Sports Education/Sports Psychology,72,52,124
WT 2021/22,Saxony,SF029,Sports Science,18,38,56
WT 2021/22,Saxony,SF106,Dance Education,4,11,15
WT 2021/22,Saxony,SF155,Theatre Studies,8,23,31
WT 2021/22,Saxony,SF156,Veterinary Medicine,22,122,144
WT 2021/22,Saxony,SF274,Tourism Management,12,53,65
WT 2021/22,Saxony,SF209,Czech,1,7,8
WT 2021/22,Saxony,SF457,Environmental Technology (including Recycling),34,12,46
WT 2021/22,Saxony,SF226,Process Engineering,55,18,73
WT 2021/22,Saxony,SF089,Transport Engineering,58,9,67
WT 2021/22,Saxony,SF210,Transport Economics,21,5,26
WT 2021/22,Saxony,SF171,Surveying (Geodesy),28,10,38
WT 2021/22,Saxony,SF175,Economics,1,5,6
WT 2021/22,Saxony,SF077,Water Management,73,49,122
WT 2021/22,Saxony,SF177,Materials Technology,58,23,81
WT 2021/22,Saxony,SF130,Western Slavic (general and n.e.c.),3,3,6
WT 2021/22,Saxony,SF277,Business Informatics,101,28,129
WT 2021/22,Saxony,SF370,Business Engineering spec. in Engineering Sciences,205,53,258
WT 2021/22,Saxony,SF179,Business Engineering specialising in Economics,202,25,227
WT 2021/22,Saxony,SF276,Business Mathematics,26,12,38
WT 2021/22,Saxony,SF181,Business and Economics Education,15,29,44
WT 2021/22,Saxony,SF184,Business and Economics,253,182,435
WT 2021/22,Saxony,SF185,Dentistry,25,70,95
WT 2021/22,Saxony-Anhalt,SF141,Waste Management,10,3,13
WT 2021/22,Saxony-Anhalt,SF003,Agricultural Science/Agriculture,102,97,199
WT 2021/22,Saxony-Anhalt,SF152,General Linguistics/Indo-European Studies,2,2,4
WT 2021/22,Saxony-Anhalt,SF006,American Studies,1,10,11
WT 2021/22,Saxony-Anhalt,SF284,Applied Linguistics,1,10,11
WT 2021/22,Saxony-Anhalt,SF010,Arabic/Arabic Studies,1,5,6
WT 2021/22,Saxony-Anhalt,SF011,Work Studies/Business Studies,11,10,21
WT 2021/22,Saxony-Anhalt,SF012,Archaeology,4,10,14
WT 2021/22,Saxony-Anhalt,SF013,Architecture,157,175,332
WT 2021/22,Saxony-Anhalt,SF017,Civil Engineering/Structural Engineering,64,12,76
WT 2021/22,Saxony-Anhalt,SF018,Occupation-specific Foreign Language Training,13,37,50
WT 2021/22,Saxony-Anhalt,SF270,"Vocational, Business and Economics Education",14,8,22
WT 2021/22,Saxony-Anhalt,SF021,Business Administration,307,252,559
WT 2021/22,Saxony-Anhalt,SF205,Sculpting/Statuary Art,6,11,17
WT 2021/22,Saxony-Anhalt,SF025,Biochemistry,28,30,58
WT 2021/22,Saxony-Anhalt,SF221,Bioinformatics,9,6,15
WT 2021/22,Saxony-Anhalt,SF026,Biology,37,101,138
WT 2021/22,Saxony-Anhalt,SF282,Biotechnology,59,99,158
WT 2021/22,Saxony-Anhalt,SF032,Chemistry,16,11,27
WT 2021/22,Saxony-Anhalt,SF033,Chemical Engineering/Chemical Process Technology,48,17,65
WT 2021/22,Saxony-Anhalt,SF231,Printing and Reproduction Technology,16,3,19
WT 2021/22,Saxony-Anhalt,SF048,Electrical Engineering/Electronics,178,64,242
WT 2021/22,Saxony-Anhalt,SF320,Nutritional Science,4,32,36
WT 2021/22,Saxony-Anhalt,SF052,Educational Science (Pedagogy),172,544,716
WT 2021/22,Saxony-Anhalt,SF053,"Protestant Theology, Protes. Religious Education",7,6,13
WT 2021/22,Saxony-Anhalt,SF464,Facility Management,11,10,21
WT 2021/22,Saxony-Anhalt,SF050,Geography,12,7,19
WT 2021/22,Saxony-Anhalt,SF039,Geosciences general,7,7,14
WT 2021/22,Saxony-Anhalt,SF067,German Studies/German,4,37,41
WT 2021/22,Saxony-Anhalt,SF068,History,14,2,16
WT 2021/22,Saxony-Anhalt,SF215,Health Technology,19,9,28
WT 2021/22,Saxony-Anhalt,SF232,Health Science/Health Management,4,44,48
WT 2021/22,Saxony-Anhalt,SF069,Graphic Design/Communication Design,23,44,67
WT 2021/22,Saxony-Anhalt,SF071,Domestic and Nutritional Sciences,10,23,33
WT 2021/22,Saxony-Anhalt,SF078,Indology,1,1,2
WT 2021/22,Saxony-Anhalt,SF203,Industrial Design/Product Design,23,36,59
WT 2021/22,Saxony-Anhalt,SF079,Computer Science,182,44,226
WT 2021/22,Saxony-Anhalt,SF123,Computational Engineer./Technical Computer Science,21,6,27
WT 2021/22,Saxony-Anhalt,SF242,Interior Architecture,2,11,13
WT 2021/22,Saxony-Anhalt,SF261,Internal Administration,21,52,73
WT 2021/22,Saxony-Anhalt,SF072,Interdisc. Studies (specialising in Engineering),190,58,248
WT 2021/22,Saxony-Anhalt,SF049,Interdisc. Studies (special. in Natural Sciences),35,10,45
WT 2021/22,Saxony-Anhalt,SF030,"Interdisc. St. (spec. in Law, Econ. and Soc. Sci.)",17,31,48
WT 2021/22,Saxony-Anhalt,SF004,Interdisc. Studies (spec. in Humanities),21,38,59
WT 2021/22,Saxony-Anhalt,SF182,International Business Studies/Management,90,126,216
WT 2021/22,Saxony-Anhalt,SF084,Italian,1,4,5
WT 2021/22,Saxony-Anhalt,SF193,Church Music,1,5,6
WT 2021/22,Saxony-Anhalt,SF303,Communication Science/Journalism,15,46,61
WT 2021/22,Saxony-Anhalt,SF091,Arts Education,5,25,30
WT 2021/22,Saxony-Anhalt,SF092,"Art History, Art Theory",3,22,25
WT 2021/22,Saxony-Anhalt,SF093,Land Management Engineering/Landscape Design,18,26,44
WT 2021/22,Saxony-Anhalt,SF096,Food Chemistry,7,15,22
WT 2021/22,Saxony-Anhalt,SF097,Food Technology,10,5,15
WT 2021/22,Saxony-Anhalt,SF199,Area of study: Technology,3,1,4
WT 2021/22,Saxony-Anhalt,SF204,Painting,4,14,18
WT 2021/22,Saxony-Anhalt,SF104,Mechanical Engineering,163,23,186
WT 2021/22,Saxony-Anhalt,SF105,Mathematics,35,18,53
WT 2021/22,Saxony-Anhalt,SF380,Mechatronics,68,9,77
WT 2021/22,Saxony-Anhalt,SF121,Media Informatics,34,12,46
WT 2021/22,Saxony-Anhalt,SF302,Media Science,14,36,50
WT 2021/22,Saxony-Anhalt,SF107,Medicine (General Medicine),95,225,320
WT 2021/22,Saxony-Anhalt,SF108,Metals Technology,4,1,5
WT 2021/22,Saxony-Anhalt,SF114,Musicology/History of Music,4,7,11
WT 2021/22,Saxony-Anhalt,SF064,Nature Conservation,9,10,19
WT 2021/22,Saxony-Anhalt,SF233,Non-medical Healthcare Professions/Therapies,7,23,30
WT 2021/22,Saxony-Anhalt,SF122,"Oriental Studies, Ancient Oriental Studies",1,4,5
WT 2021/22,Saxony-Anhalt,SF365,Early Childhood Education,9,51,60
WT 2021/22,Saxony-Anhalt,SF234,Nursing Science/Nursing Management,5,35,40
WT 2021/22,Saxony-Anhalt,SF126,Pharmacy,32,96,128
WT 2021/22,Saxony-Anhalt,SF127,Philosophy,13,32,45
WT 2021/22,Saxony-Anhalt,SF128,Physics,39,22,61
WT 2021/22,Saxony-Anhalt,SF129,Political Science,37,48,85
WT 2021/22,Saxony-Anhalt,SF263,Police/Protection of the Constitution,111,35,146
WT 2021/22,Saxony-Anhalt,SF132,Psychology,24,113,137
WT 2021/22,Saxony-Anhalt,SF135,Law,124,192,316
WT 2021/22,Saxony-Anhalt,SF146,Slavic Studies (Slavic Philology),1,4,5
WT 2021/22,Saxony-Anhalt,SF208,Social Work,31,121,152
WT 2021/22,Saxony-Anhalt,SF148,Social Sciences,29,37,66
WT 2021/22,Saxony-Anhalt,SF149,Sociology,25,56,81
WT 2021/22,Saxony-Anhalt,SF098,Sports Education/Sports Psychology,13,10,23
WT 2021/22,Saxony-Anhalt,SF029,Sports Science,25,12,37
WT 2021/22,Saxony-Anhalt,SF312,Statistics,11,10,21
WT 2021/22,Saxony-Anhalt,SF116,Textile Design,1,8,9
WT 2021/22,Saxony-Anhalt,SF274,Tourism Management,5,25,30
WT 2021/22,Saxony-Anhalt,SF226,Process Engineering,46,11,57
WT 2021/22,Saxony-Anhalt,SF171,Surveying (Geodesy),32,5,37
WT 2021/22,Saxony-Anhalt,SF172,Administrative Science/Public Administration,17,19,36
WT 2021/22,Saxony-Anhalt,SF175,Economics,34,26,60
WT 2021/22,Saxony-Anhalt,SF077,Water Management,28,11,39
WT 2021/22,Saxony-Anhalt,SF177,Materials Technology,12,6,18
WT 2021/22,Saxony-Anhalt,SF277,Business Informatics,70,13,83
WT 2021/22,Saxony-Anhalt,SF370,Business Engineering spec. in Engineering Sciences,92,27,119
WT 2021/22,Saxony-Anhalt,SF179,Business Engineering specialising in Economics,21,6,27
WT 2021/22,Saxony-Anhalt,SF276,Business Mathematics,7,1,8
WT 2021/22,Saxony-Anhalt,SF181,Business and Economics Education,25,19,44
WT 2021/22,Saxony-Anhalt,SF042,Business Law,2,6,8
WT 2021/22,Saxony-Anhalt,SF184,Business and Economics,88,102,190
WT 2021/22,Saxony-Anhalt,SF185,Dentistry,8,23,31
WT 2021/22,Schleswig-Holstein,SF138,Agricultural Biology,7,14,21
WT 2021/22,Schleswig-Holstein,SF003,Agricultural Science/Agriculture,116,89,205
WT 2021/22,Schleswig-Holstein,SF008,English Studies,54,142,196
WT 2021/22,Schleswig-Holstein,SF012,Archaeology,3,3,6
WT 2021/22,Schleswig-Holstein,SF013,Architecture,14,15,29
WT 2021/22,Schleswig-Holstein,SF017,Civil Engineering/Structural Engineering,70,37,107
WT 2021/22,Schleswig-Holstein,SF018,Occupation-specific Foreign Language Training,6,11,17
WT 2021/22,Schleswig-Holstein,SF021,Business Administration,493,429,922
WT 2021/22,Schleswig-Holstein,SF023,Fine Arts/Graphics,6,12,18
WT 2021/22,Schleswig-Holstein,SF025,Biochemistry,15,18,33
WT 2021/22,Schleswig-Holstein,SF026,Biology,49,110,159
WT 2021/22,Schleswig-Holstein,SF282,Biotechnology,17,53,70
WT 2021/22,Schleswig-Holstein,SF032,Chemistry,44,39,83
WT 2021/22,Schleswig-Holstein,SF033,Chemical Engineering/Chemical Process Technology,22,19,41
WT 2021/22,Schleswig-Holstein,SF200,Computer and Communication Technology,55,9,64
WT 2021/22,Schleswig-Holstein,SF034,Danish,4,12,16
WT 2021/22,Schleswig-Holstein,SF048,Electrical Engineering/Electronics,143,16,159
WT 2021/22,Schleswig-Holstein,SF211,Energy Process Engineering,20,3,23
WT 2021/22,Schleswig-Holstein,SF320,Nutritional Science,3,50,53
WT 2021/22,Schleswig-Holstein,SF052,Educational Science (Pedagogy),27,151,178
WT 2021/22,Schleswig-Holstein,SF024,European Ethnology and Cultural Studies,26,47,73
WT 2021/22,Schleswig-Holstein,SF053,"Protestant Theology, Protes. Religious Education",8,13,21
WT 2021/22,Schleswig-Holstein,SF212,Precision Engineering,34,2,36
WT 2021/22,Schleswig-Holstein,SF202,Manufacturing Technology/Production Engineering,32,7,39
WT 2021/22,Schleswig-Holstein,SF266,Financial Administration,43,58,101
WT 2021/22,Schleswig-Holstein,SF059,French,1,13,14
WT 2021/22,Schleswig-Holstein,SF050,Geography,40,75,115
WT 2021/22,Schleswig-Holstein,SF039,Geosciences general,44,63,107
WT 2021/22,Schleswig-Holstein,SF067,German Studies/German,67,356,423
WT 2021/22,Schleswig-Holstein,SF068,History,78,64,142
WT 2021/22,Schleswig-Holstein,SF215,Health Technology,67,63,130
WT 2021/22,Schleswig-Holstein,SF232,Health Science/Health Management,1,13,14
WT 2021/22,Schleswig-Holstein,SF071,Domestic and Nutritional Sciences,22,132,154
WT 2021/22,Schleswig-Holstein,SF333,Domestic Science,5,17,22
WT 2021/22,Schleswig-Holstein,SF203,Industrial Design/Product Design,2,7,9
WT 2021/22,Schleswig-Holstein,SF079,Computer Science,276,36,312
WT 2021/22,Schleswig-Holstein,SF123,Computational Engineer./Technical Computer Science,19,3,22
WT 2021/22,Schleswig-Holstein,SF080,Instrumental Music,6,2,8
WT 2021/22,Schleswig-Holstein,SF072,Interdisc. Studies (specialising in Engineering),17,8,25
WT 2021/22,Schleswig-Holstein,SF049,Interdisc. Studies (special. in Natural Sciences),35,8,43
WT 2021/22,Schleswig-Holstein,SF030,"Interdisc. St. (spec. in Law, Econ. and Soc. Sci.)",13,24,37
WT 2021/22,Schleswig-Holstein,SF004,Interdisc. Studies (spec. in Humanities),12,17,29
WT 2021/22,Schleswig-Holstein,SF182,International Business Studies/Management,12,49,61
WT 2021/22,Schleswig-Holstein,SF083,Islamic Studies,9,10,19
WT 2021/22,Schleswig-Holstein,SF084,Italian,1,1,2
WT 2021/22,Schleswig-Holstein,SF303,Communication Science/Journalism,9,41,50
WT 2021/22,Schleswig-Holstein,SF092,"Art History, Art Theory",9,32,41
WT 2021/22,Schleswig-Holstein,SF095,Latin,2,3,5
WT 2021/22,Schleswig-Holstein,SF154,Area of study: Social Studies,2,17,19
WT 2021/22,Schleswig-Holstein,SF186,Area of study: Natural Sciences/General Studies,2,15,17
WT 2021/22,Schleswig-Holstein,SF104,Mechanical Engineering,188,19,207
WT 2021/22,Schleswig-Holstein,SF294,Materials Engineering,52,16,68
WT 2021/22,Schleswig-Holstein,SF105,Mathematics,72,116,188
WT 2021/22,Schleswig-Holstein,SF121,Media Informatics,96,56,152
WT 2021/22,Schleswig-Holstein,SF305,Media Technology,35,28,63
WT 2021/22,Schleswig-Holstein,SF107,Medicine (General Medicine),124,246,370
WT 2021/22,Schleswig-Holstein,SF247,Medical Informatics,11,13,24
WT 2021/22,Schleswig-Holstein,SF286,Microsystems Technology,51,4,55
WT 2021/22,Schleswig-Holstein,SF113,Music Education,6,13,19
WT 2021/22,Schleswig-Holstein,SF114,Musicology/History of Music,11,4,15
WT 2021/22,Schleswig-Holstein,SF223,Nautical Science/Maritime Studies,7,1,8
WT 2021/22,Schleswig-Holstein,SF233,Non-medical Healthcare Professions/Therapies,11,70,81
WT 2021/22,Schleswig-Holstein,SF120,"Nordic/Scand. St. (Nord. Phil., ind. lang. n.e.c.)",9,26,35
WT 2021/22,Schleswig-Holstein,SF165,Orchestral Music,7,12,19
WT 2021/22,Schleswig-Holstein,SF234,Nursing Science/Nursing Management,3,14,17
WT 2021/22,Schleswig-Holstein,SF126,Pharmacy,16,36,52
WT 2021/22,Schleswig-Holstein,SF127,Philosophy,29,27,56
WT 2021/22,Schleswig-Holstein,SF128,Physics,60,35,95
WT 2021/22,Schleswig-Holstein,SF224,Engineering Physics/Mechanical Process Engineering,5,2,7
WT 2021/22,Schleswig-Holstein,SF129,Political Science,66,53,119
WT 2021/22,Schleswig-Holstein,SF263,Police/Protection of the Constitution,736,299,1035
WT 2021/22,Schleswig-Holstein,SF132,Psychology,21,138,159
WT 2021/22,Schleswig-Holstein,SF135,Law,137,239,376
WT 2021/22,Schleswig-Holstein,SF142,Naval Architecture/Ship Technology,31,5,36
WT 2021/22,Schleswig-Holstein,SF146,Slavic Studies (Slavic Philology),7,9,16
WT 2021/22,Schleswig-Holstein,SF264,Social Security Administration,18,50,68
WT 2021/22,Schleswig-Holstein,SF253,Applied Social Science,15,75,90
WT 2021/22,Schleswig-Holstein,SF149,Sociology,13,65,78
WT 2021/22,Schleswig-Holstein,SF098,Sports Education/Sports Psychology,24,14,38
WT 2021/22,Schleswig-Holstein,SF029,Sports Science,21,17,38
WT 2021/22,Schleswig-Holstein,SF116,Textile Design,2,12,14
WT 2021/22,Schleswig-Holstein,SF457,Environmental Technology (including Recycling),71,27,98
WT 2021/22,Schleswig-Holstein,SF548,Prehistory and Early History,6,8,14
WT 2021/22,Schleswig-Holstein,SF226,Process Engineering,16,32,48
WT 2021/22,Schleswig-Holstein,SF172,Administrative Science/Public Administration,38,79,117
WT 2021/22,Schleswig-Holstein,SF174,Folklore,2,7,9
WT 2021/22,Schleswig-Holstein,SF175,Economics,99,68,167
WT 2021/22,Schleswig-Holstein,SF094,Hydraulic Engineering,1,2,3
WT 2021/22,Schleswig-Holstein,SF176,Handicrafts Education,4,2,6
WT 2021/22,Schleswig-Holstein,SF277,Business Informatics,293,47,340
WT 2021/22,Schleswig-Holstein,SF370,Business Engineering spec. in Engineering Sciences,37,3,40
WT 2021/22,Schleswig-Holstein,SF179,Business Engineering specialising in Economics,179,55,234
WT 2021/22,Schleswig-Holstein,SF181,Business and Economics Education,18,8,26
WT 2021/22,Schleswig-Holstein,SF042,Business Law,11,11,22
WT 2021/22,Schleswig-Holstein,SF184,Business and Economics,107,90,197
WT 2021/22,Schleswig-Holstein,SF185,Dentistry,11,41,52
WT 2021/22,Thüringen,SF152,General Linguistics/Indo-European Studies,2,6,8
WT 2021/22,Thüringen,SF188,General Literary Studies,1,19,20
WT 2021/22,Thüringen,SF140,Applied Systems Science,54,15,69
WT 2021/22,Thüringen,SF008,English Studies,48,122,170
WT 2021/22,Thüringen,SF011,Work Studies/Business Studies,3,2,5
WT 2021/22,Thüringen,SF013,Architecture,173,266,439
WT 2021/22,Thüringen,SF143,Ophthalmic Optics,13,37,50
WT 2021/22,Thüringen,SF017,Civil Engineering/Structural Engineering,327,205,532
WT 2021/22,Thüringen,SF021,Business Administration,847,880,1727
WT 2021/22,Thüringen,SF023,Fine Arts/Graphics,9,17,26
WT 2021/22,Thüringen,SF025,Biochemistry,14,31,45
WT 2021/22,Thüringen,SF221,Bioinformatics,13,19,32
WT 2021/22,Thüringen,SF026,Biology,60,92,152
WT 2021/22,Thüringen,SF300,Biomedicine,3,5,8
WT 2021/22,Thüringen,SF282,Biotechnology,19,36,55
WT 2021/22,Thüringen,SF032,Chemistry,51,37,88
WT 2021/22,Thüringen,SF200,Computer and Communication Technology,18,6,24
WT 2021/22,Thüringen,SF271,German as a Foreign or Second Language,8,46,54
WT 2021/22,Thüringen,SF048,Electrical Engineering/Electronics,171,16,187
WT 2021/22,Thüringen,SF320,Nutritional Science,43,227,270
WT 2021/22,Thüringen,SF052,Educational Science (Pedagogy),37,489,526
WT 2021/22,Thüringen,SF053,"Protestant Theology, Protes. Religious Education",3,1,4
WT 2021/22,Thüringen,SF464,Facility Management,8,3,11
WT 2021/22,Thüringen,SF212,Precision Engineering,5,1,6
WT 2021/22,Thüringen,SF266,Financial Administration,22,27,49
WT 2021/22,Thüringen,SF058,"Forest Science, Forestry",53,26,79
WT 2021/22,Thüringen,SF059,French,1,4,5
WT 2021/22,Thüringen,SF060,Horticulture,12,23,35
WT 2021/22,Thüringen,SF050,Geography,30,26,56
WT 2021/22,Thüringen,SF039,Geosciences general,14,21,35
WT 2021/22,Thüringen,SF067,German Studies/German,41,142,183
WT 2021/22,Thüringen,SF068,History,49,29,78
WT 2021/22,Thüringen,SF195,Health Education,14,27,41
WT 2021/22,Thüringen,SF215,Health Technology,33,19,52
WT 2021/22,Thüringen,SF232,Health Science/Health Management,92,455,547
WT 2021/22,Thüringen,SF069,Graphic Design/Communication Design,269,618,887
WT 2021/22,Thüringen,SF115,Primary School Education/Primary Level Education,51,258,309
WT 2021/22,Thüringen,SF203,Industrial Design/Product Design,8,9,17
WT 2021/22,Thüringen,SF079,Computer Science,617,181,798
WT 2021/22,Thüringen,SF123,Computational Engineer./Technical Computer Science,107,16,123
WT 2021/22,Thüringen,SF242,Interior Architecture,20,167,187
WT 2021/22,Thüringen,SF261,Internal Administration,20,33,53
WT 2021/22,Thüringen,SF080,Instrumental Music,11,9,20
WT 2021/22,Thüringen,SF072,Interdisc. Studies (specialising in Engineering),163,61,224
WT 2021/22,Thüringen,SF030,"Interdisc. St. (spec. in Law, Econ. and Soc. Sci.)",2,4,6
WT 2021/22,Thüringen,SF004,Interdisc. Studies (spec. in Humanities),1,2,3
WT 2021/22,Thüringen,SF182,International Business Studies/Management,95,164,259
WT 2021/22,Thüringen,SF086,"Catholic Theology, Catholic Religious Education",2,3,5
WT 2021/22,Thüringen,SF193,Church Music,1,1,2
WT 2021/22,Thüringen,SF222,"Communication Technology, Information Engineering",17,3,20
WT 2021/22,Thüringen,SF303,Communication Science/Journalism,11,46,57
WT 2021/22,Thüringen,SF091,Arts Education,4,25,29
WT 2021/22,Thüringen,SF092,"Art History, Art Theory",3,23,26
WT 2021/22,Thüringen,SF093,Land Management Engineering/Landscape Design,12,35,47
WT 2021/22,Thüringen,SF154,Area of study: Social Studies,1,1,2
WT 2021/22,Thüringen,SF104,Mechanical Engineering,178,33,211
WT 2021/22,Thüringen,SF105,Mathematics,45,27,72
WT 2021/22,Thüringen,SF380,Mechatronics,102,9,111
WT 2021/22,Thüringen,SF121,Media Informatics,15,18,33
WT 2021/22,Thüringen,SF305,Media Technology,13,3,16
WT 2021/22,Thüringen,SF304,Media Economics/Media Management,76,151,227
WT 2021/22,Thüringen,SF302,Media Science,76,282,358
WT 2021/22,Thüringen,SF107,Medicine (General Medicine),79,176,255
WT 2021/22,Thüringen,SF157,Microelectronics,72,33,105
WT 2021/22,Thüringen,SF286,Microsystems Technology,18,8,26
WT 2021/22,Thüringen,SF113,Music Education,7,5,12
WT 2021/22,Thüringen,SF233,Non-medical Healthcare Professions/Therapies,53,138,191
WT 2021/22,Thüringen,SF088,Optoelectronics,11,3,14
WT 2021/22,Thüringen,SF165,Orchestral Music,17,6,23
WT 2021/22,Thüringen,SF234,Nursing Science/Nursing Management,104,350,454
WT 2021/22,Thüringen,SF126,Pharmacy,13,50,63
